Measure,Beat,Timestamp (s)
5,1,8.727
5,2,9.273
5,3,9.818
5,4,10.364
6,1,10.909
6,2,11.455
6,3,12.0
6,4,12.545
7,1,13.091
7,2,13.636
7,3,14.182
7,4,14.727
8,1,15.273
8,2,15.818
8,3,16.364
8,4,16.909
9,1,17.455
9,2,18.0
9,3,18.545
9,4,19.091
10,1,19.636
10,2,20.182
10,3,20.727
10,4,21.273
11,1,21.818
11,2,22.364
11,3,22.909
11,4,23.455
12,1,24.0
12,2,24.545
12,3,25.091
12,4,25.636
13,1,26.182
13,2,26.727
13,3,27.273
13,4,27.818
14,1,28.364
14,2,28.909
14,3,29.455
14,4,30.0
15,1,30.545
15,2,31.091
15,3,31.636
15,4,32.182
16,1,32.727
16,2,33.273
16,3,33.818
16,4,34.364
