Measure,Note Index,Timestamp (s)
5,1,8.727
5,2,9.273
5,3,9.545
5,4,9.818
5,5,10.364
6,1,10.909
6,2,11.455
6,3,11.727
6,4,12.0
6,5,12.545
7,1,13.091
7,2,13.636
7,3,13.909
7,4,14.182
7,5,14.727
8,1,15.273
8,2,15.818
8,3,16.091
8,4,16.364
8,5,16.909
9,1,17.455
9,2,18.0
9,3,18.273
9,4,18.545
9,5,19.091
10,1,19.636
10,2,20.182
10,3,20.455
10,4,20.727
10,5,21.273
11,1,21.818
11,2,22.364
11,3,22.636
11,4,22.909
11,5,23.455
12,1,24.0
12,2,24.545
12,3,24.818
12,4,25.091
12,5,25.636
13,1,26.182
13,2,26.727
13,3,27.0
13,4,27.273
13,5,27.818
14,1,28.364
14,2,28.909
14,3,29.182
14,4,29.455
14,5,30.0
15,1,30.545
15,2,31.091
15,3,31.364
15,4,31.636
15,5,32.182
16,1,32.727
16,2,33.273
16,3,33.545
16,4,33.818
16,5,34.364
