Quarter Note Index,Timestamp (s)
1,2.264
2,2.83
3,3.396
4,3.962
5,4.528
6,5.094
7,5.66
8,6.226
9,6.792
10,7.358
11,7.925
12,8.491
13,9.057
14,9.623
15,10.189
16,10.755
17,11.321
18,11.887
19,12.453
20,13.019
21,13.585
22,14.151
23,14.717
24,15.283
25,15.849
26,16.415
27,16.981
28,17.547
29,18.113
30,18.679
31,19.245
32,19.811
33,20.377
34,20.943
35,21.509
36,22.075
37,22.642
38,23.208
39,23.774
40,24.34
41,24.906
42,25.472
43,26.038
44,26.604
45,27.17
46,27.736
47,28.302
48,28.868
49,29.434
50,30.0
51,30.566
52,31.132
53,31.698
54,32.264
55,32.83
56,33.396
57,33.962
58,34.528
59,35.094
60,35.66
